mode,threads,N,time_s,speedup_vs_serial
serial,1,10000000,0.110205,1.0
ispc_simd,1,10000000,0.0253532,4.34679
avx_intrin,1,10000000,0.0366635,3.00585
ispc_threads,1,10000000,0.0290764,3.79019
ispc_threads,2,10000000,0.0245271,4.49319
ispc_threads,3,10000000,0.0170393,6.46771
ispc_threads,4,10000000,0.0142034,7.75905
ispc_threads,5,10000000,0.0119264,9.24045
ispc_threads,6,10000000,0.00938932,11.7373
ispc_threads,7,10000000,0.0102346,10.7679
ispc_threads,8,10000000,0.00884128,12.4648
avx_threads,1,10000000,0.0396342,2.78056
avx_threads,2,10000000,0.0237584,4.63856
avx_threads,3,10000000,0.0224038,4.91904
avx_threads,4,10000000,0.012872,8.56158
avx_threads,5,10000000,0.0151591,7.26991
avx_threads,6,10000000,0.0156281,7.05172
avx_threads,7,10000000,0.0194848,5.65594
avx_threads,8,10000000,0.0105444,10.4515
serial,1,10000000,0.115431,1.0
ispc_simd,1,10000000,0.0263508,4.38055
avx_intrin,1,10000000,0.0390346,2.95715
ispc_threads,1,10000000,0.0298547,3.86643
ispc_threads,2,10000000,0.0191582,6.02517
ispc_threads,3,10000000,0.0115607,9.98476
ispc_threads,4,10000000,0.0128969,8.95033
ispc_threads,5,10000000,0.0103738,11.1272
ispc_threads,6,10000000,0.00975158,11.8372
ispc_threads,7,10000000,0.00711735,16.2183
ispc_threads,8,10000000,0.00757085,15.2468
avx_threads,1,10000000,0.0406531,2.83942
avx_threads,2,10000000,0.0246108,4.69027
avx_threads,3,10000000,0.023944,4.82089
avx_threads,4,10000000,0.0165183,6.98806
avx_threads,5,10000000,0.0190347,6.06426
avx_threads,6,10000000,0.0190673,6.05386
avx_threads,7,10000000,0.0131354,8.78777
avx_threads,8,10000000,0.00970662,11.892
serial,1,10000000,0.111628,1.0
ispc_simd,1,10000000,0.0255537,4.36838
avx_intrin,1,10000000,0.0380131,2.93658
ispc_threads,1,10000000,0.0263781,4.23186
ispc_threads,2,10000000,0.0151977,7.34507
ispc_threads,3,10000000,0.0147264,7.58014
ispc_threads,4,10000000,0.0116623,9.5717
ispc_threads,5,10000000,0.0110228,10.127
ispc_threads,6,10000000,0.0100203,11.1402
ispc_threads,7,10000000,0.00612972,18.211
ispc_threads,8,10000000,0.00808236,13.8114
avx_threads,1,10000000,0.0434516,2.56903
avx_threads,2,10000000,0.0217275,5.13765
avx_threads,3,10000000,0.0371205,3.00719
avx_threads,4,10000000,0.0263346,4.23885
avx_threads,5,10000000,0.0178885,6.24024
avx_threads,6,10000000,0.0176196,6.33545
avx_threads,7,10000000,0.0125223,8.91437
avx_threads,8,10000000,0.0189999,5.87522
